drugbank_id	inchikey	inchikey14
DB00959	VHRSUDSXCMQTMA-PJHHCJLFSA-N	VHRSUDSXCMQTMA
DB00960	JZQKKSLKJUAGIC-UHFFFAOYSA-N	JZQKKSLKJUAGIC
DB00961	INWLQCZOYSRPNW-UHFFFAOYSA-N	INWLQCZOYSRPNW
DB00962	HUNXMJYCHXQEGX-UHFFFAOYSA-N	HUNXMJYCHXQEGX
DB00963	ZBPLOVFIXSTCRZ-UHFFFAOYSA-N	ZBPLOVFIXSTCRZ
DB00964	IEJXVRYNEISIKR-UHFFFAOYSA-N	IEJXVRYNEISIKR
DB00966	RMMXLENWKUUMAY-UHFFFAOYSA-N	RMMXLENWKUUMAY
DB00967	JAUOIFJMECXRGI-UHFFFAOYSA-N	JAUOIFJMECXRGI
DB00968	CJCSPKMFHVPWAR-JTQLQIEISA-N	CJCSPKMFHVPWAR
DB00969	JSWZEAMFRNKZNL-UHFFFAOYSA-N	JSWZEAMFRNKZNL
DB00970	RJURFGZVJUQBHK-IIXSONLDSA-N	RJURFGZVJUQBHK
DB00971	JNMWHTHYDQTDQZ-UHFFFAOYSA-N	JNMWHTHYDQTDQZ
DB00972	MBUVEWMHONZEQD-UHFFFAOYSA-N	MBUVEWMHONZEQD
DB00973	OLNTVTPDXPETLC-XPWALMASSA-N	OLNTVTPDXPETLC
DB00974	KCXVZYZYPLLWCC-UHFFFAOYSA-N	KCXVZYZYPLLWCC
DB00975	IZEKFCXSFNUWAM-UHFFFAOYSA-N	IZEKFCXSFNUWAM
DB00976	LJVAJPDWBABPEJ-PNUFFHFMSA-N	LJVAJPDWBABPEJ
DB00977	BFPYWIDHMRZLRN-SLHNCBLASA-N	BFPYWIDHMRZLRN
DB00978	ZEKZLJVOYLTDKK-UHFFFAOYSA-N	ZEKZLJVOYLTDKK
DB00979	SKYSRIRYMSLOIN-UHFFFAOYSA-N	SKYSRIRYMSLOIN
DB00980	YLXDSYKOBKBWJQ-LBPRGKRZSA-N	YLXDSYKOBKBWJQ
DB00981	PIJVFDBKTWXHHD-HIFRSBDPSA-N	PIJVFDBKTWXHHD
DB00982	SHGAZHPCJJPHSC-XFYACQKRSA-N	SHGAZHPCJJPHSC
DB00983	BPZSYCZIITTYBL-UHFFFAOYSA-N	BPZSYCZIITTYBL
DB00984	UBWXUGDQUBIEIZ-QNTYDACNSA-N	UBWXUGDQUBIEIZ
DB00985	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	ZZVUWRFHKOJYTH
DB00986	ANGKOCUUWGHLCE-UHFFFAOYSA-N	ANGKOCUUWGHLCE
DB00987	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	UHDGCWIWMRVCDJ
DB00988	VYFYYTLLBUKUHU-UHFFFAOYSA-N	VYFYYTLLBUKUHU
DB00989	XSVMFMHYUFZWBK-NSHDSACASA-N	XSVMFMHYUFZWBK
DB00990	BFYIZQONLCFLEV-DAELLWKTSA-N	BFYIZQONLCFLEV
DB00991	OFPXSFXSNFPTHF-UHFFFAOYSA-N	OFPXSFXSNFPTHF
DB00992	YUUAYBAIHCDHHD-UHFFFAOYSA-N	YUUAYBAIHCDHHD
DB00993	LMEKQMALGUDUQG-UHFFFAOYSA-N	LMEKQMALGUDUQG
DB00995	SFOZKJGZNOBSHF-RGDJUOJXSA-M	SFOZKJGZNOBSHF
DB00996	UGJMXCAKCUNAIE-UHFFFAOYSA-N	UGJMXCAKCUNAIE
DB00997	AOJJSUZBOXZQNB-TZSSRYMLSA-N	AOJJSUZBOXZQNB
DB00998	XPSQPHWEGNHMSK-SECBINFHSA-N	XPSQPHWEGNHMSK
DB00999	JZUFKLXOESDKRF-UHFFFAOYSA-N	JZUFKLXOESDKRF
DB01000	HGBLNBBNRORJKI-WCABBAIRSA-N	HGBLNBBNRORJKI
DB01001	NDAUXUAQIAJITI-UHFFFAOYSA-N	NDAUXUAQIAJITI
DB01002	LEBVLXFERQHONN-INIZCTEOSA-N	LEBVLXFERQHONN
