gene_symbol	mechanism	basis	confidence	detail
DHX36	LoF	gnomad	medium	LoF-intolerant (pLI=0.47221, LOEUF=0.347)
DHX37	LoF	gnomad	medium	LoF-intolerant (pLI=0.99252, LOEUF=0.289)
DHX9	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.105)
DIAPH1	LoF	gnomad	medium	LoF-intolerant (pLI=0.91507, LOEUF=0.32)
DIAPH2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99443, LOEUF=0.283)
DICER1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DIDO1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.187)
DIP2B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99924, LOEUF=0.266)
DIP2C	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.149)
DIS3L2	LoF	gnomad	medium	LoF-intolerant (pLI=0.944, LOEUF=0.325)
DKC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99916, LOEUF=0.191)
DKFZP761J1410	LoF	gnomad	medium	LoF-intolerant (pLI=0.99025, LOEUF=0.259)
DLC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99948, LOEUF=0.258)
DLG1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99393, LOEUF=0.286)
DLG2	LoF	gnomad	medium	LoF-intolerant (pLI=0.70796, LOEUF=0.338)
DLG3	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DLG4	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DLG5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99948, LOEUF=0.262)
DLGAP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99875, LOEUF=0.254)
DLGAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99989, LOEUF=0.199)
DLGAP3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.136)
DLGAP4	LoF	gnomad	medium	LoF-intolerant (pLI=0.99248, LOEUF=0.287)
DLL1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DLL4	LoF	gnomad	medium	LoF-intolerant (pLI=0.99982, LOEUF=0.188)
DLX1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96232, LOEUF=0.293)
DLX2	LoF	gnomad	medium	LoF-intolerant (pLI=0.97847, LOEUF=0.254)
DLX6	LoF	gnomad	medium	LoF-intolerant (pLI=0.92126, LOEUF=0.378)
DMBX1	LoF	gnomad	medium	LoF-intolerant (pLI=0.92957, LOEUF=0.369)
DMD	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DMRTA2	LoF	gnomad	medium	LoF-intolerant (pLI=0.91608, LOEUF=0.376)
DMTF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96706, LOEUF=0.317)
DMTN	LoF	gnomad	medium	LoF-intolerant (pLI=0.90082, LOEUF=0.365)
DMXL1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.202)
DMXL2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.158)
DNAJA2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99796, LOEUF=0.211)
DNAJB14	LoF	gnomad	medium	LoF-intolerant (pLI=0.93874, LOEUF=0.351)
DNAJC11	LoF	gnomad	medium	LoF-intolerant (pLI=0.99893, LOEUF=0.244)
DNAJC13	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.197)
DNAJC14	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.089)
DNAJC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99102, LOEUF=0.292)
DNAJC6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99986, LOEUF=0.222)
DNAJC7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99007, LOEUF=0.291)
DNM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99917, LOEUF=0.252)
DNM2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.18)
DNMT1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.143)
DNMT3A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DOCK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.0068117, LOEUF=0.341)
DOCK2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99969, LOEUF=0.261)
DOCK3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.158)
DOCK4	LoF	gnomad	medium	LoF-intolerant (pLI=0.82562, LOEUF=0.301)
DOCK9	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.191)
DOPEY1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99993, LOEUF=0.252)
DOT1L	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.118)
DPF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99049, LOEUF=0.285)
DPF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99985, LOEUF=0.161)
DPP10	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.178)
DPP8	LoF	gnomad	medium	LoF-intolerant (pLI=0.99791, LOEUF=0.269)
DPP9	LoF	gnomad	medium	LoF-intolerant (pLI=0.98708, LOEUF=0.298)
DPYSL2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99375, LOEUF=0.274)
DPYSL3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99887, LOEUF=0.221)
DPYSL5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99991, LOEUF=0.113)
DR1	LoF	gnomad	medium	LoF-intolerant (pLI=0.92117, LOEUF=0.368)
DRD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9555, LOEUF=0.307)
DROSHA	LoF	gnomad	medium	LoF-intolerant (pLI=0.093176, LOEUF=0.347)
DSCAM	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.189)
DSCAML1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.165)
DSG1	LoF	gnomad	medium	LoF-intolerant (pLI=0.92688, LOEUF=0.331)
DSP	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DST	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.18)
DUSP6	LoF	gnomad	medium	LoF-intolerant (pLI=0.97603, LOEUF=0.261)
DYNC1H1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.08)
DYNC1LI1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96348, LOEUF=0.328)
DYNC1LI2	LoF	gnomad	medium	LoF-intolerant (pLI=0.98346, LOEUF=0.302)
DYRK1A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
DYRK1B	LoF	gnomad	medium	LoF-intolerant (pLI=0.96905, LOEUF=0.323)
DYRK2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99751, LOEUF=0.17)
